Symbols,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,
227,1032.5,1048.469971,258.6199951,10625.04004,83.19999695,1137.290039,62.5,179.5899963,52.90250015,238,2017/11/16
228,1019.090027,1035.890015,257.8599854,10701.63965,82.40000153,1129.880005,63.00999832,179,52.84000015,241.5,2017/11/17
229,1018.380005,1034.660034,258.2999878,10664.5498,82.52999878,1126.310059,61.7480011,178.7400055,53.52000046,238.5,2017/11/20
230,1034.48999,1050.300049,259.9899902,10779.24023,83.72000122,1139.48999,63.56200027,181.8600006,54.01250076,243,2017/11/21
231,1035.959961,1051.920044,259.7600098,10822.58984,83.11000061,1156.160034,62.52000046,180.8699951,53.73249817,242,2017/11/22
232,1035.959961,1051.920044,259.7600098,10854.57031,83.11000061,1156.160034,62.52000046,180.8699951,53.73249817,242.5,2017/11/23
233,1040.609985,1056.52002,260.3599854,10854.08984,83.26000214,1186,63.11000061,182.7799988,54.24000168,244,2017/11/24
234,1054.209961,1072.01001,260.230011,10750.92969,83.87000275,1195.829956,63.36199951,183.0299988,53.53499985,237,2017/11/27
235,1047.410034,1063.290039,262.8699951,10707.07031,84.87999725,1193.599976,63.50999832,182.4199982,52.67750168,234,2017/11/28
236,1021.659973,1037.380005,262.7099915,10713.5498,83.33999634,1161.27002,61.50799942,175.1300049,49.10499954,234.5,2017/11/29
237,1021.409973,1036.170044,265.0100098,10560.44043,84.16999817,1176.75,61.77000046,177.1799927,50.17750168,226,2017/11/30
238,1010.169983,1025.069946,264.4599915,10600.37012,84.26000214,1162.349976,61.30599976,175.1000061,49.41999817,231,2017/12/1
239,998.6799927,1011.869995,264.1400146,10651.11035,81.08000183,1133.949951,61.04000092,171.4700012,46.66500092,234,2017/12/4
240,1005.150024,1019.599976,263.1900024,10566.84961,81.58999634,1141.569946,60.74000168,172.8300018,46.93500137,229.5,2017/12/5
241,1018.380005,1032.719971,263.2399902,10393.91992,82.77999878,1152.349976,62.65200043,176.0599976,47.31499863,227,2017/12/6
242,1030.930054,1044.569946,264.0700073,10355.75977,82.48999786,1159.790039,62.2480011,180.1399994,47.99750137,226.5,2017/12/7
243,1037.050049,1049.380005,265.5100098,10398.62012,84.16000366,1162,63.02600098,179,47.87250137,227,2017/12/8
244,1041.099976,1051.969971,266.3099976,10473.08984,85.23000336,1168.920044,65.78199768,179.0399933,48.66500092,227.5,2017/12/11
245,1040.47998,1048.77002,266.7799988,10443.28027,85.58000183,1165.079956,68.20600128,176.9600067,47.70999908,227.5,2017/12/12
246,1040.609985,1051.390015,266.75,10470.7002,85.34999847,1164.130005,67.80599976,178.3000031,46.54499817,227,2017/12/13
247,1049.150024,1057.469971,265.6600037,10538.00977,84.69000244,1174.26001,67.57800293,178.3899994,46.61750031,230.5,2017/12/14
248,1064.189941,1072,266.5100098,10491.44043,86.84999847,1179.140015,68.69000244,180.1799927,47.88999939,230,2017/12/15
249,1077.140015,1085.089966,268.2000122,10506.51953,86.37999725,1190.579956,67.77400208,180.8200073,49.47499847,227,2017/12/18
250,1070.680054,1079.780029,267.1700134,10467.33984,85.83000183,1187.380005,66.22000122,179.5099945,49.02750015,225,2017/12/19
251,1064.949951,1073.560059,267.0299988,10504.51953,85.51999664,1177.619995,65.79599762,177.8899994,49.20000076,224.5,2017/12/20
252,1063.630005,1070.849976,267.5799866,10488.96973,85.5,1174.76001,66.33200073,177.4499969,48.97249985,225,2017/12/21
253,1060.119995,1068.859985,267.5100098,10537.26953,85.51000214,1168.359985,65.04000092,177.1999969,48.81750107,227.5,2017/12/22
254,1060.119995,1068.859985,267.5100098,10522.49023,85.51000214,1168.359985,65.04000092,177.1999969,48.81750107,228.5,2017/12/25
255,1056.73999,1065.849976,267.1900024,10421.91016,85.40000153,1176.76001,63.45800018,175.9900055,49.36000061,226,2017/12/26
256,1049.369995,1060.199951,267.3200073,10486.66992,85.70999908,1182.26001,62.32799911,177.6199951,49.29249954,225,2017/12/27
257,1048.140015,1055.949951,267.8699951,10567.63965,85.72000122,1186.099976,63.0719986,177.9199982,49.34999847,226,2017/12/28
258,1046.400024,1053.400024,266.8599854,10642.86035,85.54000092,1169.469971,62.27000046,176.4600067,48.375,229.5,2017/12/29
